Names,NAB_M9,CAB_M9,NAB_M9T,CAB_M9T
b0001,0,0,0,0
b0002,324.888451666667,159.2075525,400.083827,146.60875
b0003,276.869338,151.654068,328.5771855,137.596925
b0004,194.397818333333,90.614437,253.3243155,107.465135
b0005,23.0132986666667,9.933262,19.336721,13.972421
b0006,99.6039453333333,84.838831,87.899161,95.044817
b0007,5.09105033333333,5.695044,5.59243,8.4133
b0008,1040.82738933333,1023.6246275,939.63772,966.422133
b0009,55.705352,65.589633,57.300069,78.286944
b0010,13.6701246666667,12.15528,11.503599,7.039766
b0011,11.297451,13.1943415,13.532878,19.271341
b0012,0,0,0.3522475,0
b0013,1.01656866666667,0,0.900975,0
b0014,679.573154333333,382.402045,816.1071805,455.102624
b0015,145.463323666667,117.9819265,186.1749915,153.035651
b0016,174.088677666667,167.7708015,193.7649155,175.463844
b0018,81.0855253333333,80.512971,60.9488365,62.069529
b4412,15.6643973333333,0,0,101.666281
b0019,65.9023926666667,74.9099415,57.9734745,90.608234
b0020,81.9205473333333,93.0786265,76.424794,100.144714
b0021,45.596237,27.739044,25.8857175,20.174962
b0022,184.112578,138.548184,132.1840615,120.733678
b0023,1836.862935,1457.3763545,2195.4437215,1355.620823
b0024,0,0,1.4419045,8.29309
b0025,508.671921,531.351842,558.6296065,589.065298
b0026,207.226417,195.5593585,191.9904245,201.319684
b0027,86.6339183333333,85.100112,114.351132,143.122449
b0028,64.593405,71.8150505,77.333677,83.233369
b0029,136.418656333333,140.6911155,135.2358705,144.128144
b0030,3.641674,4.308901,4.7107815,5.446942
b0031,320.361013333333,298.016258,321.846768,292.729776
b0032,32.104868,13.811501,85.706319,29.54174
b0033,35.7327056666667,20.458749,87.954881,32.021548
b0034,23.402261,25.365786,25.136288,35.201558
b0035,2.37818133333333,2.3199065,4.35703,10.257833
b0036,1.070402,1.4043055,1.6027805,3.83633
b0037,5.492444,8.082365,5.750404,8.030989
b0038,5.08961066666667,7.4604185,5.9655825,8.887544
b0039,11.787248,9.312521,11.460356,10.495305
b0040,1.01098033333333,1.137599,1.601897,0.620659
b0041,1.65194566666667,1.7639535,2.144612,3.449574
b0042,1.86886133333333,0.951139,1.3912955,0.748495
b0043,1.14453466666667,1.280778,1.6102535,1.006699
b0044,0.794789333333333,0,3.2919855,4.915445
b0045,1.452208,1.4552575,2.4471585,1.930895
b0046,10.356155,11.444461,12.4098535,22.594327
b0047,19.1579116666667,23.5107645,20.099641,21.475681
b0048,108.808568333333,172.905892,121.5367495,153.59492
b0049,99.203968,91.8894125,82.309445,88.715423
b0050,60.5002463333333,60.1919925,58.638893,41.169525
b0051,59.7321483333333,46.34963,63.712594,50.439592
b0052,86.0115103333333,63.4735335,88.5947075,58.887521
b0053,239.445416,224.26997,219.0057945,201.591507
b0054,276.331516666667,279.9498055,256.2208075,290.15273
b0055,57.528089,50.637402,48.900117,60.510295
b0056,71.3015016666667,93.485132,68.5304095,93.467869
b0057,1462.43811366667,2351.201543,1507.310265,2551.398436
b0058,35.9380046666667,58.6344945,37.653309,47.235582
b0059,30.977414,39.7509785,29.8406235,44.187057
b0060,10.8194993333333,12.492493,8.279376,13.76486
b0061,1.279746,0.3047135,0.195379,0
b0062,1.89915633333333,2.409083,2.4711175,2.088425
b0063,1.791631,1.1893515,1.3870415,1.625928
b0064,51.9777166666667,56.1377695,48.6536875,62.430704
b0065,62.8966343333333,55.6037165,64.277358,78.735869
